2019-08-27 20:04:17,513 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/swagger-resources/configuration/security]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()
2019-08-27 20:04:17,516 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-08-27 20:04:17,516 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-08-27 20:04:17,702 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter [main] (RequestMappingHandlerAdapter.java:534) INFO  --> Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@69379752: startup date [Tue Aug 27 20:04:07 CST 2019]; root of context hierarchy
2019-08-27 20:04:17,866 springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping [main] (PropertySourcedRequestMappingHandlerMapping.java:69) INFO  --> Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2019-08-27 20:04:18,976 org.springframework.jmx.export.annotation.AnnotationMBeanExporter [main] (MBeanExporter.java:431) INFO  --> Registering beans for JMX exposure on startup
2019-08-27 20:04:19,023 org.springframework.context.support.DefaultLifecycleProcessor [main] (DefaultLifecycleProcessor.java:343) INFO  --> Starting beans in phase 2147483647
2019-08-27 20:04:19,024 springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper [main] (DocumentationPluginsBootstrapper.java:147) INFO  --> Context refreshed
2019-08-27 20:04:19,094 springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper [main] (DocumentationPluginsBootstrapper.java:150) INFO  --> Found 1 custom documentation plugin(s)
2019-08-27 20:04:19,189 springfox.documentation.spring.web.scanners.ApiListingReferenceScanner [main] (ApiListingReferenceScanner.java:41) INFO  --> Scanning for api listing references
2019-08-27 20:04:19,592 org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer [main] (TomcatEmbeddedServletContainer.java:198) INFO  --> Tomcat started on port(s): 8762 (http)
2019-08-27 20:04:19,599 com.flypay.WebApplication [main] (StartupInfoLogger.java:57) INFO  --> Started WebApplication in 14.356 seconds (JVM running for 17.484)
2019-08-27 20:04:19,603 com.flypay.utils.ConsistentHash [main] (ConsistentHash.java:55) INFO  --> 一致哈希初始化完成============ 
2019-08-27 20:04:19,603 com.flypay.WebApplication [main] (WebApplication.java:39) INFO  --> ********************Web Server Started********************
2019-08-27 20:04:37,322 com.flypay.WebApplication [main] (StartupInfoLogger.java:48) INFO  --> Starting WebApplication on WIN-BCPPR4T9TIQ with PID 3616 (started by Administrator in E:\Work Space\COM\webservice\flypay-web)
2019-08-27 20:04:37,326 com.flypay.WebApplication [main] (SpringApplication.java:637) INFO  --> No active profile set, falling back to default profiles: default
2019-08-27 20:04:37,427 org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext [main] (AbstractApplicationContext.java:582) INFO  --> Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5f71c76a: startup date [Tue Aug 27 20:04:37 CST 2019]; root of context hierarchy
2019-08-27 20:04:37,827 org.hibernate.validator.internal.util.Version [background-preinit] (Version.java:30) INFO  --> HV000001: Hibernate Validator 5.3.4.Final
2019-08-27 20:04:39,937 org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [main] (PostProcessorRegistrationDelegate.java:325) INFO  --> Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$5fa57716] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-08-27 20:04:40,252 org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer [main] (TomcatEmbeddedServletContainer.java:89) INFO  --> Tomcat initialized with port(s): 8762 (http)
2019-08-27 20:04:40,387 org.springframework.web.context.ContextLoader [localhost-startStop-1] (EmbeddedWebApplicationContext.java:276) INFO  --> Root WebApplicationContext: initialization completed in 2960 ms
2019-08-27 20:04:40,525 org.springframework.boot.web.servlet.ServletRegistrationBean [localhost-startStop-1] (ServletRegistrationBean.java:190) INFO  --> Mapping servlet: 'dispatcherServlet' to [/]
2019-08-27 20:04:40,532 org.springframework.boot.web.servlet.FilterRegistrationBean [localhost-startStop-1] (AbstractFilterRegistrationBean.java:258) INFO  --> Mapping filter: 'characterEncodingFilter' to: [/*]
2019-08-27 20:04:41,191 org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [main] (LocalContainerEntityManagerFactoryBean.java:349) INFO  --> Building JPA container EntityManagerFactory for persistence unit 'default'
2019-08-27 20:04:41,204 org.hibernate.jpa.internal.util.LogHelper [main] (LogHelper.java:31) INFO  --> HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-08-27 20:04:41,272 org.hibernate.Version [main] (Version.java:37) INFO  --> HHH000412: Hibernate Core {5.0.12.Final}
2019-08-27 20:04:41,273 org.hibernate.cfg.Environment [main] (Environment.java:213) INFO  --> HHH000206: hibernate.properties not found
2019-08-27 20:04:41,274 org.hibernate.cfg.Environment [main] (Environment.java:317) INFO  --> HHH000021: Bytecode provider name : javassist
2019-08-27 20:04:41,316 org.hibernate.annotations.common.Version [main] (JavaReflectionManager.java:66) INFO  --> HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2019-08-27 20:04:41,462 org.hibernate.dialect.Dialect [main] (Dialect.java:156) INFO  --> HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2019-08-27 20:04:41,988 org.hibernate.tool.hbm2ddl.SchemaUpdate [main] (SchemaUpdate.java:105) INFO  --> HHH000228: Running hbm2ddl schema update
2019-08-27 20:04:42,399 org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [main] (AbstractEntityManagerFactoryBean.java:379) INFO  --> Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-08-27 20:04:42,493 com.flypay.conf.JedisConfig [main] (JedisConfig.java:38) INFO  --> JedisPool注入成功！
2019-08-27 20:04:43,092 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/fly/pay/init],methods=[GET]}" onto public com.flypay.model.Result com.flypay.controller.FacePayController.init(java.lang.String,java.lang.String)
2019-08-27 20:04:43,093 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/fly/pay/getAuthinfo],methods=[GET]}" onto public com.flypay.model.Result com.flypay.controller.FacePayController.getAuthinfo(java.lang.String,java.lang.String,java.lang.String)
2019-08-27 20:04:43,093 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/fly/pay/setRawdata],methods=[GET]}" onto public com.flypay.model.Result com.flypay.controller.FacePayController.setRawdata(java.lang.String,java.lang.String,java.lang.String)
2019-08-27 20:04:43,093 org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping [main] (AbstractHandlerMethodMapping.java:543) INFO  --> Mapped "{[/fly/pay/topay],methods=[POST]}" onto public com.flypay.model.Result com.flypay.controller.FacePayController.pay(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
